param m := 55;

param y :=
1 1
2 1
3 -1
4 1
5 1
6 1
7 1
8 -1
9 1
10 -1
11 -1
12 -1
13 -1
14 1
15 1
16 1
17 -1
18 -1
19 1
20 1
21 -1
22 1
23 1
24 1
25 1
26 -1
27 -1
28 -1
29 1
30 1
31 1
32 1
33 1
34 -1
35 -1
36 1
37 1
38 1
39 -1
40 1
41 1
42 -1
43 1
44 1
45 1
46 -1
47 -1
48 -1
49 1
50 1
51 1
52 -1
53 -1
54 1
55 1
;

param K :
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 :=
1 1.000000 0.000221 0.001868 0.233374 0.053028 0.000008 0.029232 0.211424 0.008704 0.544287 0.000482 0.014874 0.001887 0.005973 0.000000 0.000000 0.000204 0.005009 0.002800 0.767888 0.003606 0.520164 0.920556 0.003657 0.773798 0.000002 0.000078 0.038902 0.039672 0.007786 0.005314 0.778195 0.000000 0.634096 0.039330 0.000075 0.006681 0.000000 0.064341 0.467225 0.962927 0.000742 0.000566 0.385883 0.719323 0.018124 0.000002 0.000012 0.238778 0.000000 0.000000 0.000000 0.092710 0.001330 0.030130
2 0.000221 1.000000 0.407474 0.000516 0.188572 0.737656 0.003066 0.000003 0.031048 0.000002 0.000000 0.262866 0.312304 0.000000 0.000001 0.000000 0.386462 0.452485 0.045542 0.001164 0.000214 0.011882 0.000559 0.005812 0.002362 0.016436 0.000001 0.219967 0.000320 0.000005 0.002915 0.001834 0.000000 0.000053 0.242791 0.888647 0.013531 0.000000 0.096606 0.008727 0.000267 0.000474 0.011222 0.000104 0.000910 0.310143 0.002842 0.000080 0.001662 0.000000 0.000000 0.000112 0.000000 0.006900 0.000009
3 0.001868 0.407474 1.000000 0.017453 0.151063 0.235497 0.099123 0.000218 0.418022 0.000079 0.000062 0.812839 0.982161 0.000014 0.000227 0.000060 0.844556 0.935403 0.518808 0.003745 0.020305 0.052687 0.002746 0.172926 0.008702 0.150394 0.000559 0.591851 0.020355 0.001187 0.112259 0.016028 0.000035 0.001496 0.564897 0.490962 0.274202 0.000070 0.470481 0.017111 0.002932 0.036557 0.245476 0.000182 0.012178 0.756750 0.065926 0.009707 0.038990 0.000200 0.000067 0.008273 0.000018 0.192221 0.001413
4 0.233374 0.000516 0.017453 1.000000 0.019284 0.000044 0.542476 0.443920 0.185053 0.185496 0.059632 0.071576 0.022591 0.112878 0.000054 0.000051 0.003797 0.025764 0.085397 0.095465 0.252082 0.300977 0.146526 0.176930 0.154295 0.000558 0.029557 0.097485 0.705472 0.315075 0.244618 0.486482 0.000006 0.574008 0.082763 0.000400 0.204584 0.000340 0.224124 0.076992 0.357722 0.098689 0.047808 0.010041 0.649137 0.061200 0.001077 0.007953 0.952075 0.000341 0.000013 0.000535 0.184468 0.093585 0.521234
5 0.053028 0.188572 0.151063 0.019284 1.000000 0.033503 0.016172 0.000861 0.041215 0.002263 0.000003 0.315846 0.118120 0.000006 0.000000 0.000000 0.049998 0.286807 0.030129 0.167211 0.000892 0.362805 0.104345 0.007919 0.221783 0.000523 0.000005 0.507688 0.004519 0.000145 0.006039 0.128728 0.000000 0.011559 0.575254 0.088409 0.019651 0.000000 0.329102 0.440774 0.050262 0.000647 0.004870 0.048951 0.071341 0.425520 0.000143 0.000027 0.041243 0.000000 0.000000 0.000007 0.000093 0.005293 0.000452
6 0.000008 0.737656 0.235497 0.000044 0.033503 1.000000 0.000603 0.000000 0.010823 0.000000 0.000000 0.091971 0.180134 0.000000 0.000001 0.000000 0.350911 0.206468 0.021354 0.000052 0.000048 0.001037 0.000022 0.002047 0.000126 0.028423 0.000000 0.057831 0.000042 0.000001 0.000862 0.000114 0.000000 0.000002 0.062868 0.871195 0.004587 0.000000 0.021810 0.000600 0.000011 0.000171 0.006425 0.000003 0.000054 0.101819 0.004140 0.000054 0.000166 0.000000 0.000000 0.000157 0.000000 0.003109 0.000001
7 0.029232 0.003066 0.099123 0.542476 0.016172 0.000603 1.000000 0.072702 0.675366 0.013250 0.070038 0.203597 0.133535 0.034457 0.002702 0.002059 0.040826 0.100655 0.466395 0.013466 0.677320 0.120499 0.019173 0.751555 0.029277 0.019666 0.115781 0.178490 0.807662 0.311957 0.842915 0.133150 0.000486 0.098465 0.144529 0.003788 0.769468 0.006669 0.364199 0.018884 0.055228 0.512705 0.391040 0.000590 0.181419 0.152285 0.034702 0.110183 0.618337 0.008403 0.000883 0.019801 0.019648 0.562861 0.328006
8 0.211424 0.000003 0.000218 0.443920 0.000861 0.000000 0.072702 1.000000 0.008291 0.562361 0.057110 0.001948 0.000307 0.342628 0.000001 0.000001 0.000024 0.000422 0.002389 0.047496 0.040379 0.064552 0.096886 0.010199 0.061784 0.000002 0.007076 0.003777 0.209740 0.201392 0.019625 0.211354 0.000000 0.705080 0.003120 0.000001 0.010933 0.000022 0.013116 0.017557 0.301965 0.007559 0.001259 0.008523 0.342247 0.001682 0.000008 0.000298 0.295986 0.000014 0.000000 0.000006 0.845307 0.003737 0.428604
9 0.008704 0.031048 0.418022 0.185053 0.041215 0.010823 0.675366 0.008291 1.000000 0.001548 0.008696 0.529347 0.511595 0.002358 0.003944 0.001995 0.256932 0.376104 0.929704 0.006764 0.336515 0.091421 0.007566 0.829352 0.016194 0.119227 0.034256 0.390606 0.305916 0.060443 0.734874 0.059599 0.000749 0.019587 0.330292 0.042745 0.953875 0.003832 0.563894 0.016186 0.016281 0.401631 0.711691 0.000247 0.067109 0.412096 0.128978 0.118389 0.276497 0.006718 0.001336 0.045845 0.001341 0.773454 0.059157
10 0.544287 0.000002 0.000079 0.185496 0.002263 0.000000 0.013250 0.562361 0.001548 1.000000 0.002478 0.001005 0.000094 0.044807 0.000000 0.000000 0.000006 0.000220 0.000370 0.195788 0.003052 0.106778 0.330347 0.001087 0.191570 0.000000 0.000172 0.002873 0.036215 0.018840 0.002089 0.309248 0.000000 0.729019 0.002665 0.000001 0.001581 0.000000 0.007719 0.065285 0.578844 0.000406 0.000101 0.091910 0.386720 0.001091 0.000000 0.000006 0.134429 0.000000 0.000000 0.000000 0.457693 0.000324 0.067877
